Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CL05B104KO5NNNC","C0402",247.000000,-94.079883,-90.000000,bottom
"C2","CL05B104KO5NNNC","C0402",261.500000,-76.250000,0.000000,bottom
"D1","B5817W_C8597","SOD-123_L2.8-W1.8-LS3.7-RD",247.500000,-75.500000,0.000000,bottom
"D2","B5817W_C8597","SOD-123_L2.8-W1.8-LS3.7-RD",248.807595,-92.000000,0.000000,bottom
"MASTER1","CH552G","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",256.323523,-81.122492,180.000000,bottom
"R1","0402WGJ0103TCE","R0402",262.000000,-85.067183,-90.000000,bottom
"R2","0402WGJ0103TCE","R0402",262.000000,-94.432817,-90.000000,bottom
"R3","0402WGF5101TCE","R0402",260.750000,-74.432817,-90.000000,bottom
"R4","0402WGJ0103TCE","R0402",250.500000,-83.182817,-90.000000,bottom
"R5","0402WGJ0103TCE","R0402",262.000000,-78.067183,-90.000000,bottom
"R6","0402WGJ0103TCE","R0402",245.750000,-93.567183,90.000000,bottom
"R7","RMS04JT330","R0402",250.432817,-77.250000,0.000000,bottom
"R8","RMS04JT330","R0402",262.250000,-89.932817,-90.000000,bottom
"R9","0402WGJ0103TCE","R0402",247.567183,-73.750000,180.000000,bottom
"R11","0402WGF5101TCE","R0402",253.567183,-76.500000,0.000000,bottom
"R_PHOTO1","GT36549","RES-SMD_L3.6-W2.4",247.750000,-79.500000,90.000000,bottom
"SLAVE1","CH552G","SOP-16_L10.0-W3.9-P1.27-LS6.0-BL",256.324994,-89.127508,0.000000,bottom
"SW_CHIP_RST3","EVQP2202M","SW-SMD_L4.7-W3.5-P2.00-LS5.2_EVQP2202M",248.050000,-86.750000,0.000000,bottom
"LED1","XL-5050RGBC-WS2812B","LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC",252.999873,-80.500000,180.000000,top
"LED2","XL-5050RGBC-WS2812B","LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC",252.999873,-88.500000,0.000000,top
"SW1","SSSS211603","SW-SMD_SSSS211603",261.726498,-80.499873,-90.000000,top
"SW2","SSSS211603","SW-SMD_SSSS211603",261.749936,-90.098933,-90.000000,top
"SW5_MASTER_EXEC1","TSA453G50-250","KEY-SMD_4P-L4.5-W4.5-P3.00-LS7.5",247.500000,-79.500000,180.000000,top
"SW6_SLAVE_EXEC2","TSA453G50-250","KEY-SMD_4P-L4.5-W4.5-P3.00-LS7.5",247.500000,-88.250000,0.000000,top
"SW_MASTER_BOOT1","EVQP2202M","SW-SMD_L4.7-W3.5-P2.00-LS5.2_EVQP2202M",257.950000,-80.100000,0.000000,top
"SW_SLAVE_BOOT2","EVQP2202M","SW-SMD_L4.7-W3.5-P2.00-LS5.2_EVQP2202M",258.000000,-88.000000,180.000000,top
"USBA_MALE1","USB-05","USB-A-TH_USB-05",254.149987,-95.500000,0.000000,top
"USBC_MALE1","918-118A2021Y40005","USB-C-SMD_918-118A2021Y40005",255.748844,-73.555029,180.000000,top
