"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"USBC_MALE1";"USB-C-SMD_918-118A2021Y40005";1;"918-118A2021Y40005";;;
2;"LED2,LED1";"LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC";2;"XL-5050RGBC-WS2812B";;;
3;"SW1,SW2";"SW-SMD_SSSS211603";2;"SSSS211603";;;
4;"USBA_MALE1";"USB-A-TH_USB-05";1;"USB-05";;;
5;"SW_MASTER_BOOT1,SW_SLAVE_BOOT2,SW_CHIP_RST3";"SW-SMD_L4.7-W3.5-P2.00-LS5.2_EVQP2202M";3;"EVQP2202M";;;
6;"SW6_SLAVE_EXEC2,SW5_MASTER_EXEC1";"KEY-SMD_4P-L4.5-W4.5-P3.00-LS7.5";2;"TSA453G50-250";;;
7;"R11,R3";"R0402";2;"0402WGF5101TCE";;;
8;"R5,R9,R6,R4,R2,R1";"R0402";6;"0402WGJ0103TCE";;;
9;"D1,D2";"SOD-123_L2.8-W1.8-LS3.7-RD";2;"B5817W_C8597";;;
10;"SLAVE1,MASTER1";"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL";2;"CH552G";;;
11;"C2,C1";"C0402";2;"CL05B104KO5NNNC";;;
12;"R7,R8";"R0402";2;"RMS04JT330";;;
13;"R_PHOTO1";"RES-SMD_L3.6-W2.4";1;"GT36549";;;
